Date,Size (MB),Count
2013 - January,16.1,121332
2013 - February,16.4,123961
2013 - March,21.3,158635
2013 - April,21.1,157871
2013 - May,24.0,179550
2013 - June,29.8,224679
2013 - July,39.0,293459
2013 - August,43.3,325525
2013 - September,42.8,325098
2013 - October,56.7,411039
2013 - November,69.3,487012
2013 - December,82.6,578262
2014 - January,100.0,697600
2014 - February,101.0,692394
2014 - March,116.0,795173
2014 - April,122.0,810463
2014 - May,151.0,905374
2014 - June,160.0,961868
2014 - July,176.0,1048440
2014 - August,170.0,1013294
2014 - September,159.0,1000056
2014 - October,182.0,1111302
2014 - November,201.0,1209291
2014 - December,228.0,1350176
2015 - January,252.0,1497237
2015 - February,250.0,1495553
2015 - March,290.0,1742733
2015 - April,283.0,1785418
2015 - May,348.0,2137557
2015 - June,383.0,2324106
2015 - July,426.0,2455141
2015 - August,447.0,2621861
2015 - September,485.0,2844677
2015 - October,576.0,3400418
2015 - November,596.0,3595776
2015 - December,679.0,4161162
2016 - January,781.0,4770357
2016 - February,815.0,5015361
2016 - March,937.0,5801234
2016 - April,954.0,5922667
2016 - May,998.0,6225957
2016 - June,986.0,6136419
2016 - July,1010.0,6275933
2016 - August,1040.0,6483257
2016 - September,1100.0,6813113
2016 - October,1220.0,7599868
2016 - November,1300.0,8021509
2016 - December,1530.0,9433412
2017 - January,1720.0,10680708
2017 - February,1630.0,10194939
2017 - March,1940.0,11346745
2017 - April,2950.0,11348506
2017 - May,3040.0,11693919
2017 - June,2990.0,11512600
2017 - July,3130.0,12080314
2017 - August,3230.0,12458761
2017 - September,3240.0,12564109
2017 - October,3540.0,13703878
2017 - November,3690.0,14306375
2017 - December,4190.0,16232215
2018 - January,4630.0,17945784
2018 - February,4470.0,17383410
2018 - March,5230.0,20036271
2018 - April,5080.0,19881929
2018 - May,5460.0,21442600
2018 - June,5150.0,20273737
2018 - July,5360.0,21070917
2018 - August,5750.0,22635642
2018 - September,5770.0,22971939
2018 - October,6230.0,24784600
2018 - November,6580.0,26136657
2018 - December,7830.0,31179146
2019 - January,8480.0,33886899
2019 - February,7710.0,31023718
2019 - March,8640.0,34869171
2019 - April,8310.0,33565536
2019 - May,8710.0,35236588
2019 - June,8400.0,33935786
2019 - July,8870.0,35728182
2019 - August,9110.0,36745427
2019 - September,9150.0,36996010
2019 - October,10000.0,40440254
2019 - November,9970.0,40357832
2019 - December,10900.0,44055757
2020 - January,11600.0,46800709
2020 - February,10900.0,44004185
2020 - March,13900.0,55544817
2020 - April,18600.0,73224608
2020 - May,19100.0,75628855
2020 - June,17700.0,70374749
2020 - July,17600.0,70592022
2020 - August,17800.0,71405167
2020 - September,16800.0,68027862
2020 - October,17500.0,70572373
2020 - November,19400.0,78268317
2020 - December,22200.0,89422803
2021 - January,26000.0,95853038
2021 - February,24400.0,89892001
2021 - March,27300.0,100023791
